Annees - 2021,,,,,,
,,,,,,
Sexe,Total,Hommes,Femmes,Total en %,Hommes en %,Femmes en %
age,,,,,,
Tous ages,634730,319456,315274,100,100,100
0-4 ans,33255,16900,16355,5.2392,5.2902,5.1876
0 an,6490,3310,3180,1.0225,1.0361,1.0086
1 an,6571,3277,3294,1.0352,1.0258,1.0448
2 ans,6705,3440,3265,1.0564,1.0768,1.0356
3 ans,6763,3472,3291,1.0655,1.0868,1.0439
4 ans,6726,3401,3325,1.0597,1.0646,1.0546
5-9 ans,34259,17641,16618,5.3974,5.5222,5.271
5 ans,6784,3491,3293,1.0688,1.0928,1.0445
6 ans,6947,3604,3343,1.0945,1.1282,1.0603
7 ans,6961,3530,3431,1.0967,1.105,1.0883
8 ans,6876,3520,3356,1.0833,1.1019,1.0645
9 ans,6691,3496,3195,1.0541,1.0944,1.0134
10-14 ans,33881,17291,16590,5.3379,5.4126,5.2621
10 ans,6957,3535,3422,1.0961,1.1066,1.0854
11 ans,6771,3508,3263,1.0668,1.0981,1.035
12 ans,6816,3483,3333,1.0738,1.0903,1.0572
13 ans,6691,3376,3315,1.0541,1.0568,1.0515
14 ans,6646,3389,3257,1.0471,1.0609,1.0331
15-19 ans,33071,17179,15892,5.2102,5.3776,5.0407
15 ans,6534,3467,3067,1.0294,1.0853,0.9728
16 ans,6566,3404,3162,1.0345,1.0656,1.0029
17 ans,6499,3403,3096,1.0239,1.0652,0.982
18 ans,6648,3464,3184,1.0474,1.0843,1.0099
19 ans,6824,3441,3383,1.0751,1.0771,1.073
20-24 ans,38714,19975,18739,6.0993,6.2528,5.9437
20 ans,7362,3821,3541,1.1599,1.1961,1.1232
21 ans,7266,3730,3536,1.1447,1.1676,1.1216
22 ans,7363,3791,3572,1.16,1.1867,1.133
23 ans,8153,4188,3965,1.2845,1.311,1.2576
24 ans,8570,4445,4125,1.3502,1.3914,1.3084
25-29 ans,47600,24373,23227,7.4993,7.6295,7.3672
25 ans,8877,4503,4374,1.3985,1.4096,1.3874
