,,,,,,,,,,,
Ann�e,1821,1900,1960,1970,1981,1991,2001,2010,2011,2020,2021
Sp�cification,,,,,,,,,,,
Grand-Duch� de Luxembourg,134082,236125,314889,339841,364597,384634,439539,502066,512353,626108,634730
Canton Capellen,10685,15744,17767,21381,27148,31791,37133,40628,41173,50094,50733
Dippach,880,1150,1329,1620,2008,2588,3189,3537,3544,4449,4461
Garnich,666,1026,888,980,1111,1264,1495,1771,1861,2193,2221
Habscht,2328,2933,2456,2644,2547,2731,3340,3801,3840,4730,4803
K�erjeng,1781,2609,3938,5225,6072,6662,8695,9474,9671,10464,10517
Kehlen,1528,2096,1629,1674,2727,4381,4792,4931,5048,6232,6138
Koerich,964,1343,1250,1238,1392,1517,1802,2101,2283,2616,2642
Kopstal,663,1019,1484,2295,3023,2963,3002,3092,3097,4038,4116
Mamer,1223,1948,2455,3123,5423,6264,6753,7499,7473,9913,10218
Steinfort,652,1620,2338,2582,2845,3421,4065,4422,4356,5459,5617
Canton Esch,12078,51964,108379,114778,114483,116501,134674,150647,152479,183364,185184
Bettembourg,1022,2203,5877,6623,7131,8020,9063,9818,9790,11319,11374
Differdange,1655,8756,17637,17964,16726,15740,18172,21530,21935,27409,27869
Dudelange,1398,8741,14617,14615,14072,14674,17320,18507,18781,21291,21513
Esch-sur-Alzette,810,10971,27954,27574,25144,24018,27146,30147,30125,36218,36228
Frisange,932,1161,1167,1342,1688,2053,2878,3722,3750,4746,4769
Kayl,724,4069,6505,6691,6354,6292,7050,7821,7767,9506,9668
Leudelange,282,694,788,1077,1340,1442,1851,2108,2148,2702,2704
Mondercange,988,1022,2200,3262,3964,4942,6089,6209,6228,7007,6982
P�tange,777,4406,11623,11844,12127,12352,13749,15582,16085,19574,20084
Reckange-sur-Mess,578,842,801,1052,1406,1556,1700,2054,2138,2594,2634
Roeser,915,1372,1767,2281,3038,3488,4457,5159,5302,6551,6560
Rumelange,401,4601,4271,3935,3711,3500,4309,5029,5038,5604,5613
Sanem,1096,1877,7021,10078,11162,11554,13041,14421,14470,17550,17895
Schifflange,500,1249,6151,6440,6620,6870,7849,8540,8922,11293,11291
Canton Luxembourg,23953,52062,89492,101654,114225,117471,125019,147017,151592,190671,193509
Bertrange,822,1177,1677,2461,4000,4228,5514,6389,6213,8432,8472
Contern,793,1098,1181,1639,2203,2568,3082,3483,3419,3939,3968
Hesperange,1449,2299,3883,6293,9090,9921,10400,13163,13335,15584,15657
Luxembourg,15091,39488,71653,76159,78912,75833,76688,90848,95058,122273,124509
Niederanven,1580,1950,1760,2042,3393,5053,5439,5435,5424,6312,6349
